,karta,country,mcc,Typ_karty,te_pos_entry_mode,czy_moto,czy_niskokwotowa_zblizeniowa,czy_SCA,ilosc,wartosc_transakcji,te_tran_type,Wartość wypłat Cash Back,category,tr_rsp_code,tr_app_id
184,VISA,QA ,5973,Credit,CTLS,inne,0,0,1,337.0000,00,0.0000,Individual,00,07
185,VISA,US ,5451,Debit,CTLS,inne,1,0,4,123.9000,00,0.0000,Individual,00,07
186,VISA,IE ,5441,Debit,CTLS,inne,1,0,68,2329.3400,00,0.0000,Individual,00,07
187,VISA,MY ,5931,Debit,CTLS,inne,0,0,1,129.0000,00,0.0000,Individual,00,07
188,VISA,IS ,4225,Debit,CTLS,inne,1,0,3,145.0400,00,0.0000,Individual,00,07
189,VISA,SK ,5499,Debit,CTLS,inne,0,0,19,10249.4000,00,0.0000,BUSINESS,00,07
190,VISA,CZ ,5261,Debit,CTLS,inne,0,0,9,7440.4000,00,0.0000,BUSINESS,00,07
191,VISA,FI ,5812,Credit,CHIP,inne,0,0,27,1953.5900,00,0.0000,Individual,00,07
192,VISA,PL ,1799,Debit,CTLS,inne,1,0,1,46.5900,09,40.0000,Individual,00,07
193,VISA,FR ,7699,Debit,CTLS,inne,0,0,2,2088.3700,00,0.0000,Individual,00,07
194,VISA,UA ,5261,Debit,CTLS,inne,1,0,63,1935.4000,00,0.0000,Individual,00,07
195,VISA,GB ,5811,Debit,CHIP,inne,0,0,1,188.0000,00,0.0000,BUSINESS,00,07
196,VISA,PL ,4784,Credit,CTLS,inne,1,1,1,85.0000,00,0.0000,Individual,00,07
197,VISA,NL ,5441,Credit,CTLS,inne,1,0,1,14.5000,00,0.0000,Individual,00,07
198,VISA,NL ,7996,Debit,CTLS,inne,0,0,2,407.0000,00,0.0000,Individual,00,07
199,VISA,PL ,5940,Credit,CTLS,inne,1,0,92,4134.9200,00,0.0000,Individual,00,07
200,VISA,AT ,3506,Credit,CTLS,inne,1,0,1,63.0000,00,0.0000,BUSINESS,00,07
201,VISA,CA ,8398,Credit,CTLS,inne,1,0,1,3.9000,00,0.0000,Individual,00,07
202,VISA,US ,5111,Debit,CTLS,inne,1,0,1,43.0000,00,0.0000,BUSINESS,00,07
203,VISA,NO ,8043,Debit,CTLS,inne,0,0,8,3685.0000,00,0.0000,Individual,00,07
204,VISA,US ,5462,Credit,CTLS,inne,0,0,1,113.6400,00,0.0000,BUSINESS,00,07
205,VISA,PL ,5973,Credit,CHIP,inne,0,0,3,90.0000,00,0.0000,Individual,00,07
206,VISA,BD ,4121,Credit,CHIP,inne,0,0,1,110.0000,00,0.0000,Individual,00,07
207,VISA,US ,5072,Debit,CTLS,inne,0,0,10,1666.0000,00,0.0000,Individual,00,07
208,VISA,CY ,5811,Credit,CTLS,inne,0,0,1,120.0000,00,0.0000,Individual,00,07
209,VISA,PL ,7829,Debit,CTLS,inne,0,0,66,18277.9100,00,0.0000,BUSINESS,00,07
210,VISA,FI ,5947,Debit,CTLS,inne,0,0,1,182.0000,00,0.0000,Individual,00,07
211,VISA,TW ,5422,Credit,CTLS,inne,1,0,1,13.6000,00,0.0000,Individual,00,07
212,VISA,CN ,5995,Credit,CTLS,inne,1,0,2,178.3000,00,0.0000,Individual,00,07
213,VISA,NL ,5211,Debit,CTLS,inne,0,0,8,3102.1200,00,0.0000,Individual,00,07
214,VISA,KR ,5811,Debit,CHIP,inne,0,0,1,45.0000,00,0.0000,Individual,00,07
215,VISA,HR ,5812,Debit,CTLS,inne,0,0,22,3844.9900,00,0.0000,Individual,00,07
216,VISA,SK ,8931,Debit,CTLS,inne,0,0,1,240.0000,00,0.0000,Individual,00,07
217,VISA,QA ,5411,Debit,CTLS,inne,0,0,1,563.4000,00,0.0000,Individual,00,07
218,VISA,PL ,5499,Debit,CTLS,inne,0,0,2,320.7100,09,100.0000,BUSINESS,00,07
219,VISA,UA ,4225,Credit,CTLS,inne,0,0,3,700.5000,00,0.0000,Individual,00,07
220,VISA,NO ,5122,Credit,CTLS,inne,0,0,1,595.8000,00,0.0000,Individual,00,07
221,VISA,PL ,5983,Debit,CHIP,inne,0,0,1561,244014.4000,00,0.0000,Individual,00,07
222,VISA,SG ,5621,Debit,CHIP,inne,0,0,1,15.0000,00,0.0000,Individual,00,07
223,VISA,LU ,5941,Credit,CTLS,inne,0,0,1,2649.0000,00,0.0000,Individual,00,07
224,VISA,PL ,5499,Debit,CTLS,inne,1,0,1,22.3200,20,0.0000,BUSINESS,00,07
225,VISA,UA ,5735,Debit,CTLS,inne,0,0,3,1701.0000,00,0.0000,Individual,00,07
226,VISA,ZA ,8011,Credit,CTLS,inne,0,0,1,250.0000,00,0.0000,Individual,00,07
227,VISA,CZ ,5812,Credit,CTLS,inne,1,0,13,746.8000,00,0.0000,BUSINESS,00,07
228,VISA,CZ ,4722,Credit,CTLS,inne,0,0,1,276.0000,00,0.0000,Individual,00,07
229,VISA,IN ,7999,Credit,CHIP,inne,0,0,2,101.0000,00,0.0000,Individual,00,07
230,VISA,IN ,5122,Debit,CHIP,inne,0,0,1,113.0000,00,0.0000,Individual,00,07
231,VISA,GE ,5411,Debit,CHIP,inne,0,0,2,45.9100,00,0.0000,Individual,00,07
232,VISA,BE ,5812,Credit,CTLS,inne,0,0,2,390.2000,00,0.0000,BUSINESS,00,07
233,VISA,PT ,5931,Debit,CTLS,inne,0,0,3,470.8000,00,0.0000,Individual,00,07
234,VISA,LT ,5044,Debit,CTLS,inne,1,0,1,5.9500,00,0.0000,Individual,00,07
235,VISA,TW ,5441,Credit,CTLS,inne,1,0,1,7.0000,00,0.0000,BUSINESS,00,07
236,VISA,JO ,5812,Credit,CTLS,inne,1,0,15,711.9900,00,0.0000,Individual,00,07
237,VISA,LT ,5571,Debit,CTLS,inne,0,0,1,529.0000,00,0.0000,Individual,00,07
238,VISA,PL ,5541,Debit,CTLS,inne,0,0,1,198.5300,09,60.0000,Individual,00,07
239,VISA,PL ,5541,Debit,CTLS,inne,0,0,1,604.5000,09,600.0000,Individual,00,07
240,VISA,PL ,5231,Debit,CTLS,inne,0,0,4671,1639131.0900,00,0.0000,Individual,00,07
241,VISA,GE ,5441,Debit,CTLS,inne,0,0,2,327.4800,00,0.0000,Individual,00,07
242,VISA,MY ,5812,Credit,CTLS,inne,0,0,5,776.3000,00,0.0000,Individual,00,07
243,VISA,LT ,6300,Debit,CTLS,inne,1,0,1,1.5000,00,0.0000,Individual,00,07
244,VISA,AU ,5812,Debit,CTLS,inne,1,0,771,24841.3200,00,0.0000,Individual,00,07
245,VISA,PL ,5811,Credit,CTLS,inne,0,0,34,13795.6500,00,0.0000,BUSINESS,00,07
246,VISA,BY ,8111,Debit,CTLS,inne,0,0,1,354.2400,00,0.0000,Individual,00,07
247,VISA,UA ,7629,Debit,CTLS,inne,1,0,11,348.5000,00,0.0000,Individual,00,07
248,VISA,GB ,7523,Debit,CHIP,inne,0,0,1,6.0000,00,0.0000,Individual,00,07
249,VISA,AR ,4225,Credit,CTLS,inne,1,0,1,26.0000,00,0.0000,Individual,00,07
250,VISA,PL ,1799,Debit,CTLS,inne,0,0,377,255058.6500,00,0.0000,BUSINESS,00,07
251,VISA,NL ,7997,Debit,CTLS,inne,0,0,1,129.9900,00,0.0000,Individual,00,07
252,VISA,PL ,7399,Debit,CTLS,inne,0,0,1,301.8300,09,300.0300,Individual,00,07
253,VISA,SE ,5651,Credit,CTLS,inne,1,0,24,1199.1600,00,0.0000,Individual,00,07
254,VISA,PL ,5541,Debit,CTLS,inne,0,0,12193,4811081.0900,00,0.0000,BUSINESS,00,07
